station_id,name,line,lat,lon
1,강남역,2호선,37.497952,127.027619
2,잠실역,2호선,37.513294,127.100388
3,홍대입구역,2호선,37.557192,126.925381
4,신촌역,2호선,37.555003,126.936893
5,서울역,1호선,37.554648,126.970598
6,삼성역,2호선,37.508530,127.063141
7,선릉역,2호선,37.504741,127.049076
8,역삼역,2호선,37.500214,127.036456
9,교대역,2호선,37.493567,127.014006
10,사당역,2호선,37.476487,126.981632
11,신림역,2호선,37.484219,126.929702
12,구로디지털단지역,2호선,37.485302,126.901401
13,신도림역,2호선,37.508724,126.891302
14,영등포구청역,2호선,37.524529,126.896345
15,여의도역,5호선,37.521624,126.924395
16,공덕역,5호선,37.544581,126.951651
17,이대역,2호선,37.556701,126.945955
18,합정역,2호선,37.549506,126.913675
19,종각역,1호선,37.570256,126.982669
20,시청역,1호선,37.564718,126.976953
